đại đồng tiểu dị	 id = 198987
Thái hậu Từ Hi	 id = 199761
Tần Thủy Hoàng	 id = 199762
Tần Thuỷ Hoàng	 id = 199763
Nguyễn Sinh Khiêm	 id = 199764
Tần Doanh Chính	 id = 199765
Thủy Hoàng Đế	 id = 199766
Nelson Mandela	 id = 199767
Norodom Sihamoni	 id = 199768
Từ Hi	 id = 199769
Từ Hy	 id = 199770
Lữ Bố	 id = 199771
Đặng Tiểu Bình	 id = 199772
Iosif Vissarionovich Stalin	 id = 199773
Stalin	 id = 199774
Josif Stalin	 id = 199775
Stalin, Josif	 id = 199776
Ioseb Dzhugashvili	 id = 199777
Dzhugashvili, Ioseb	 id = 199778
Stalin, Iosif Vissarionovich	 id = 199779
Iosif Stalin	 id = 199780
Stalin, Iosif	 id = 199781
Josif Vissarionovich Xtalin	 id = 199782
Xtalin, Josif Vissarionovich	 id = 199783
Josif Xtalin	 id = 199784
Xtalin, Josif	 id = 199785
Xtalin	 id = 199786
Iosif Vissarionovich Xtalin	 id = 199787
Xtalin, Iosif Vissarionovich	 id = 199788
Iosif Xtalin	 id = 199789
Xta-lin	 id = 199790
Xtalin, Iosif	 id = 199791
Joseph Stalin	 id = 199792
Stalin, Joseph	 id = 199793
Phạm Quỳnh	 id = 199794
Ngô Xuân Diệu	 id = 199795
Josif Vissarionovich Stalin	 id = 199796
Osama Bin Laden	 id = 199456
Đinh Thoại Yến Vy	 id = 199797
Vladimir Ilyich Lenin	 id = 199798
Don Juan	 id = 199799
Dom Juan	 id = 199800
Đông Gioang	 id = 199801
Đông Gioăng	 id = 199802
Nguyễn Thế Tổ	 id = 199803
Nguyễn Ánh	 id = 199804
Đông Gioan	 id = 199805
Phạm Tuyên	 id = 199806
Lê Minh Hương	 id = 199807
Vladimir Iliych Lenin	 id = 199808
Jennifer López	 id = 199809
Robin Williams	 id = 199810
Các Mác	 id = 199811
Angelos Charisteas	 id = 199812
Vũ Đình Hòe	 id = 199813
Che Guevara	 id = 199814
Fidel Castro Ruz	 id = 199815
Ernesto Guevara de la Serna	 id = 199816
Vương Hồng Sển	 id = 199817
Sir Isaac Newton	 id = 199818
Hoàng Vân	 id = 199819
Hoàng Hiệp	 id = 199820
Mạc Ngôn	 id = 199821
Nguyễn Huy Tưởng	 id = 199822
Yasser Arafat	 id = 199823
Ngô Quang Bình	 id = 199824
Cac Mac	 id = 199825
Xađam Huxen	 id = 199826
Chu Dung Cơ	 id = 199827
Đoàn Chuẩn	 id = 199828
Trần Lệ Xuân	 id = 199829
Bà Ngô Đình Nhu	 id = 199830
Lưu Trần Nghiệp	 id = 199831
Lê Văn Ngọ	 id = 199832
Trương Văn Cam	 id = 199833
Nguyễn Trung Thành	 id = 199834
Ang Lee	 id = 199835
Gloria Macapagal-Arroyo	 id = 199836
Cao Xuân Huy	 id = 199837
Gloria Macaraeg Macapagal-Arroyo	 id = 199838
Gloria Arroyo	 id = 199839
Trần Thủ Độ	 id = 199840
Phan Huỳnh Điểu	 id = 199841
Bobby Robson	 id = 199842
Trúc Phương	 id = 197763
Trần Thái Tông	 id = 199843
Trần Thủ Ðộ	 id = 199844
Khổng Phu Tử	 id = 199845
Võ Tắc Thiên	 id = 199846
Carlos Slim Helú	 id = 199847
Honoré de Balzac	 id = 199848
Nguyễn Ánh 9	 id = 199849
Ayumi Hamasaki	 id = 199850
Trần Thị Nhượng	 id = 199851
Richard Wagner	 id = 199852
Giả Bình Ao	 id = 199853
Nam Phương Hoàng Hậu	 id = 199854
Nguyễn Hữu Thị Lan	 id = 199855
A-Lịch-Sơn Đắc-Lộ	 id = 199856
Kelly Clarkson	 id = 199857
Martin Luther King Jr	 id = 199858
Lã Anh Tuấn	 id = 199859
Nguyễn Văn Trỗi	 id = 199860
Vụ án Năm Cam	 id = 199861
Hillary Diane Rodham	 id = 199862
Hillary Rodham Clinton	 id = 199863
Thomas Alva Edison	 id = 199864
Edison	 id = 186463
Thomas Edison	 id = 199865
Tần Thủy Hoàng Đế	 id = 199866
Quan Vân Trường	 id = 199867
Hữu Ước	 id = 199868
Yến Vi	 id = 199869
Ngô Đình Cẩn	 id = 199870
Oprah Gail Winfrey	 id = 199871
Điêu Thuyền	 id = 199872
Nicolaus Copernicus	 id = 199873
Xít Ta Lin	 id = 199874
Xít-Ta-Lin	 id = 199875
Xít-ta-lin	 id = 199875
Hoàng Việt	 id = 199876
Ariel Scheinermann	 id = 199877
Cao Hành Kiện	 id = 199878
Vệ Tuệ	 id = 199879
Đoàn Chuẩn - Từ Linh	 id = 199880
Phạm Duy Cẩn	 id = 199881
Lê Chí Trực	 id = 199882
Lê Trực	 id = 199883
Bênêdictô XVI	 id = 199884
Chu Vệ Tuệ	 id = 199885
Diệu Hương	 id = 199886
Kennedy	 id = 199887
Cù Huy Cận	 id = 199888
Nguyễn Đình Ánh	 id = 199889
Mạc Thị Bưởi	 id = 199890
Cựu Hoàng Bảo Ðại	 id = 199891
Cựu Hoàng Bảo Đại	 id = 199892
Đặng Hy Hiền	 id = 199893
Romano Prodi	 id = 199894
Prodi, Romano	 id = 199895
William Henry Gates III	 id = 199896
William Henry Gates	 id = 199897
Đỗ Nhuận	 id = 199898
Christina Maria Aguilera	 id = 199899
Xtina	 id = 199900
Aguilera, Christina	 id = 199901
Aguilera, Christina Maria	 id = 199902
Fidel Alejandro Castro Ruz	 id = 199903
Eleanor Roosevelt	 id = 199904
Anna Eleanor Roosevelt	 id = 199905
Roosevelt, Anna Eleanor	 id = 199906
Mandy Moore	 id = 199907
Ashlee Simpson	 id = 199908
Lê Huỳnh Đức	 id = 199909
Thuỷ Hoàng đế	 id = 199910
Hoàng đế đầu tiên nhà Tần	 id = 199911
Nguyễn Văn Tý	 id = 199912
Maggie Q	 id = 199913
Nguyễn Văn Thương	 id = 199914
Lê Nin	 id = 199915
Hippocrates	 id = 199916
Ganđi	 id = 199917
Ơ. Hêminhuây	 id = 199918
Gioocgiơ Oasinhtơn	 id = 199919
John Kennedy	 id = 199920
Jôn Kennơđy	 id = 199921
Jôn F. Kennơđy	 id = 199922
Hitle	 id = 199923
Vichto Huygô	 id = 199924
Na-pô-lê-ông Bô-na-pác	 id = 199925
Napôlêông Bônapác	 id = 199926
Napôlêông Bônapac	 id = 199927
Lý Mỹ Kỳ	 id = 199928
Maggie Quigley	 id = 199929
George Bush	 id = 199930
John Keneddy	 id = 199931
Gioocgiơ Busơ	 id = 199932
Lệ Thu	 id = 199933
Johannes Brahms	 id = 199934
Brahms	 id = 199935
Nikolai Ivanovich Lobachevsky	 id = 199936
Frédéric Chopin	 id = 199937
Lobachevsky	 id = 199938
Lưu Hữu Phước	 id = 199939
Jimmy Wales	 id = 199940
Jim Wales	 id = 199941
Jimbo Wales	 id = 199942
Mao Zedong	 id = 199943
Khu du lịch Sa Huỳnh	 id = 199944
Kimi Räikkönen	 id = 199945
Jean-Pierre Papin	 id = 199946
Ngô Đức Kế	 id = 199947
Nguyễn Thiếp	 id = 199948
Ronaldo Luís Nazário de Lima	 id = 199949
Laura Bush	 id = 199950
Phạm Trọng Cầu	 id = 199951
Laura Welch Bush	 id = 199952
Rivaldo	 id = 199953
Tự Đức	 id = 199954
Khái Hưng	 id = 199955
Trần Khánh Giư	 id = 199956
Hoàng Ngọc Phách	 id = 199957
Lê Dung	 id = 199958
Michael Ballack	 id = 199959
Lê Đức Anh	 id = 199960
Công Chúa Huyền Trân	 id = 199713
Lý Phật Kim	 id = 199961
Dennis Bergkamp	 id = 199962
Andriy Shevchenko	 id = 199963
Thiệu Trị	 id = 199964
Lê Hữu Trác	 id = 199965
Vua Tự Đức	 id = 199966
Tự Ðức	 id = 199967
Nguyễn Phúc Hồng Nhậm	 id = 199968
Dực Tông Anh Hoàng đế	 id = 199969
Nguyễn Phúc Thì	 id = 199970
Hàm Nghi	 id = 199971
Nguyễn Phúc Ưng Lịch	 id = 199972
Nguyễn Phúc Minh	 id = 199973
Vua Hàm Nghi	 id = 199974
Nguyễn Phúc Tuyền	 id = 199975
Tôn Thất Thuyết	 id = 199976
Vua Thiệu Trị	 id = 199977
Tôn Thất Thiệp	 id = 199978
Tôn Thất Đạm	 id = 199979
Henrik Larsson	 id = 199980
Henry James	 id = 199981
Nguyễn Phúc Thiển	 id = 199982
Khải Định	 id = 199983
Nguyễn Duy Cống	 id = 199984
Lê Hiến Tông	 id = 199985
Hoàng Tụy	 id = 199986
Lê Hoàn	 id = 199987
Frederic Chopin	 id = 199988
Fryderyk Franciszek Chopin	 id = 199989
Frédéric François Chopin	 id = 199990
Phan Anh	 id = 199991
Chu Huy Mân	 id = 199992
Lê Long Đĩnh	 id = 199993
Lionel Messi	 id = 199994
Zhang Ziyi	 id = 199995
Ingvar Kamprad	 id = 199996
Hoài Thanh	 id = 199997
Ôn Như Hầu	 id = 199998
Phan Đình Diệu	 id = 199999
Nguyễn Gia Thiều	 id = 200000
Messi	 id = 200001
Hristo Stoichkov	 id = 200002
Stoichkov	 id = 200003
Stoitchkov	 id = 200004
Víctor Valdés	 id = 200005
Victor valdes	 id = 200006
Víctor Valdés Arribas	 id = 200007
Victor Valdes	 id = 200006
Hoàng Minh Thảo	 id = 200008
Đả thạch lão	 id = 200009
Hristo stoitchkov	 id = 200010
Hristo Stoitchkov	 id = 200010
Deco	 id = 200011
Lã Bố	 id = 200012
Xavi Hernández	 id = 200013
Xavier Hernández	 id = 200014
Xavier Hernández Creus	 id = 200015
Xavi Hernández Creus	 id = 200016
Carles Puyol	 id = 200017
Trần Anh Tông	 id = 200018
Trần Minh Tông	 id = 200019
Ba Giai	 id = 200020
Johan Cruijff	 id = 200021
Ông già chém đá	 id = 200022
Lý Đạo Tái	 id = 200023
Johan Cruyff	 id = 180601
Ronald Reagan	 id = 200024
Mạc Ðĩnh Chi	 id = 200025
Lưỡng quốc tướng quân	 id = 200026
Tố Hữu	 id = 200027
Nguyễn Kim Thành	 id = 200028
La sơn phu tử	 id = 200029
La Sơn phu tử	 id = 200029
Trần Độ	 id = 200030
Tạ Ngọc Phách	 id = 200031
Bằng Việt	 id = 200032
Nguyễn Việt Bằng	 id = 200033
Hoàng Phi Hồng	 id = 200034
Lương Triều Vĩ	 id = 200035
Tony Leung Chiu Wai	 id = 200036
Vũ Nguyên Bác	 id = 200037
Hu Jin Tao	 id = 200038
Nicole Richie	 id = 200039
Leung Chiu Wai	 id = 200040
Andriy Shevchenco	 id = 200041
Chân Tử Đan	 id = 200042
Lý Tiểu Long	 id = 200043
Hoàng Phi Hùng	 id = 200044
Bruce Lee	 id = 200045
Già Thu	 id = 200046
Bao Công	 id = 200047
Bao Chửng	 id = 200048
Hốt Tất Liệt Hãn	 id = 200049
Tây Hải	 id = 200050
Arjen Robben	 id = 200051
José Mourinho	 id = 200052
Trần Cảng Sinh	 id = 200053
Jêm Uên	 id = 200054
Jimi Uên	 id = 200055
Jimbô Uên	 id = 200056
Giả Tĩnh Văn	 id = 200057
Ngô Thừa Ân	 id = 200058
Lan Ngọc	 id = 200059
Chính Hữu	 id = 200060
Chính hữu	 id = 200060
Pavel Nedvěd	 id = 200061
Pavel Nedved	 id = 200062
Michael Dell	 id = 200063
Vladimir Lenin	 id = 200064
Song Seung Hun	 id = 200065
Donnie Yen	 id = 200066
Nguyễn Hữu An	 id = 200067
Freud	 id = 200068
Võ Văn Kiệt	 id = 200069
Milan Kundera	 id = 200070
Võ An Ninh	 id = 200071
Lê Đức Thúy	 id = 200072
Oleg Konstantinovich Antonov	 id = 200073
Pavel Osipovich Sukhoi	 id = 200074
Alexander Sergeyevich Yakovlev	 id = 200075
Tư Mã Quang	 id = 200076
Phạm Văn Trà	 id = 200077
Đoàn Khuê	 id = 200078
Sáu Phong	 id = 200079
Trần Phong	 id = 200080
Nikolai Gogol	 id = 200081
Nikolai Gôgôn	 id = 200082
Nikolas Gogol	 id = 200083
Nikolai Vasilevich Gogol	 id = 200084
Vũ Lăng	 id = 200085
Tuấn Vũ	 id = 191941
Nicholas Kim Coppola	 id = 200086
Hồ Đức Việt	 id = 200087
Steven Gerrard	 id = 200088
Mikhail Sergeyevich Gorbachyov	 id = 200089
Mikhail Gorbachev	 id = 200090
Trần Nguyên Long	 id = 200091
Phòng Sĩ Long	 id = 200092
Nguyễn Tấn Tài	 id = 200093
Boris Nikolayevich Yeltsin	 id = 200094
Jimmy Carter	 id = 200095
Phạm Tiến Duật	 id = 200096
Ô-nô-rê đờ Ban dắc	 id = 200097
Ban dắc	 id = 200098
Ban zắc	 id = 200099
Carlos Slim Helu	 id = 200100
Nguyễn Trọng Bính	 id = 200101
Băc	 id = 200102
Bênêđitô XVI	 id = 200103
Anbơt Anhxtanh	 id = 200104
Gôgôn	 id = 200105
Lênin	 id = 200106
F. Magiêlan	 id = 200107
F. Magiêlăng	 id = 200108
Harry Truman	 id = 200109
Harry S. Truman	 id = 200110
Harry S Truman	 id = 200111
Napoléon I	 id = 200112
Napoleone di Buonaparte	 id = 200113
Napoleon đệ nhất	 id = 200114
Karl Heinrich Marx	 id = 200115
Các-Mác	 id = 200116
Dick Cheney	 id = 200117
Wagner	 id = 185293
Mô da	 id = 200118
Lut-vich Van Bét-tô-ven	 id = 200119
Béttôven	 id = 200120
Johann Bach	 id = 200121
Dự Nhượng	 id = 200122
Vacnơ	 id = 200123
Mikhail Gorbachov	 id = 200124
Mihail Sergeevič Gorbačëv	 id = 200125
Goóc-ba-chốp	 id = 200126
Richard Nixon	 id = 200127
Barbara Bush	 id = 200128
Sô panh	 id = 200129
Ludwig Van Beethoven	 id = 199554
Lê Thanh Hải	 id = 200130
Roberto Donadoni	 id = 200131
Dmitri Mendeleev	 id = 200132
Thomas A. Edison	 id = 200133
Sôpanh	 id = 200134
Nguyễn Tài Cẩn	 id = 200135
Dan Brown	 id = 200136
Trương Quý Hải	 id = 200137
Cẩm Vân	 id = 191799
Tào Tháo	 id = 200138
Tutankhamun	 id = 200139
Aleksandr Sergeyevich Pushkin	 id = 200140
Puskin	 id = 200141
Thoại Ngọc hầu	 id = 200142
Alêchxanđrơ Puskin	 id = 200143
Gia đình Ngô Đình Diệm	 id = 200144
Dương Như Ngọc	 id = 200145
Mendeleev	 id = 200146
Dimitri Ivanovich Mendeleev	 id = 200147
Dmitri Ivanovitch Mendeleev	 id = 200148
Đỗ Mỹ Linh	 id = 200149
Trần Tế Xương	 id = 200150
Tú Xương	 id = 200151
Ngô Đình Nhu	 id = 200152
Trần Duy Uyên	 id = 200153
Trần Kế Xương	 id = 200154
Sonia Gandhi	 id = 200155
Vladimir Vladimirovich Putin	 id = 200156
Roman Arkadievich Abramovich	 id = 200157
Lưu Trọng Lư	 id = 200158
Chu Nguyên Chương	 id = 200159
Edvige Antonia Albina Maino	 id = 200160
Sôcrát	 id = 200161
Socrat	 id = 200162
Mi-lan Kun-đê-ra	 id = 200163
Milan Kunđêra	 id = 200164
Rôbơt Rôpxơn	 id = 200165
Đan Brao	 id = 200166
Đaniơn Brao	 id = 200167
Jêm Catơ	 id = 200168
Lôra Busơ	 id = 200169
Nenxơn Manđêla	 id = 200170
Richơt Nichxơn	 id = 200171
Rôbơt Uyliơm	 id = 200172
Giả Tịnh Văn	 id = 200173
Julius Caesar	 id = 200174
Jule César	 id = 200175
Gianluca Zambrotta	 id = 200176
Caius Julius Caesar	 id = 200177
Warren Buffett	 id = 200178
Nguyễn Hiến Tổ	 id = 200179
Nguyễn Dực Tông	 id = 200180
Nguyễn Ánh Chín	 id = 200181
Cristiano Ronaldo	 id = 200182
Johnny Tri Nguyen	 id = 200183
Dustin Nguyễn	 id = 200184
Cao Thái Sơn	 id = 200185
Chu Ân Lai	 id = 200186
Diego Maradona	 id = 200187
Phùng Quán	 id = 200188
Càn Long	 id = 200189
Hoàng đế Càn Long	 id = 200190
Norodom Sihanouk	 id = 200191
Condi Rice	 id = 200192
Giang Thanh	 id = 200193
Hun Sen	 id = 200194
Stephen Harper	 id = 200195
Quách Mạt Nhược	 id = 200196
Ma-ri Quy-ri	 id = 200197
Mari Quyri	 id = 200198
Hyun Bin	 id = 200199
Gao Xingjian	 id = 200200
Mai Phương Thuý	 id = 200201
Julius Cæsar	 id = 200174
Frank Rijkaard	 id = 200202
Andre Agassi	 id = 200203
Vũ Đình Liên	 id = 200204
Giuseppe Verdi	 id = 200205
Pablo Picasso	 id = 200206
Picasso	 id = 200207
Brigitte Bardot	 id = 200208
Verner Von Siemens	 id = 200209
Nguyễn Khắc Nghiên	 id = 200210
Trần Hiến Tông	 id = 200211
Napoleon I của Pháp	 id = 200212
Josef Stalin	 id = 200213
Ngô Văn Dụ	 id = 200214
Đỗ Bá Tỵ	 id = 200215
Nguyễn Văn Hiệu	 id = 200216
Diego Armando Maradona	 id = 200217
Lance Armstrong	 id = 200218
Hà Văn Tấn	 id = 200219
Gia Cát Chiêm	 id = 200220
Colin Powell	 id = 200221
Phạm Văn Quyến	 id = 200222
Yeltsin	 id = 200223
Balzac	 id = 200224
Honore de Balzac	 id = 200225
Copernicus	 id = 200226
Tạ Từ Huy	 id = 200227
Trịnh Tráng	 id = 200228
Trịnh Đình Dũng	 id = 200229
Từ Huy	 id = 200230
Lê Thị Liên Hoan	 id = 200231
Jet Li	 id = 200232
Usama bin Laden	 id = 200233
Nguyễn Phan Chánh	 id = 200234
Thôi Hiệu	 id = 200235
Nguyễn Văn Vĩnh	 id = 200236
Tân Nam Tử	 id = 200237
Triệu Vân	 id = 200238
Phùng Tuấn Vũ	 id = 200239
Triệu Tử Long	 id = 200240
Nuno Gomes	 id = 200241
Nuno gomes	 id = 200241
Nguyễn Hồng Sến	 id = 200242
Lee Hsien Loong	 id = 200243
Ngô Bảo Châu	 id = 200244
Trương Tam Phong	 id = 200245
Đỗ Bá Tị	 id = 200246
Hồ Quỳnh hương	 id = 199019
Lỗ Tấn	 id = 200247
Chu Thụ Nhân	 id = 200248
Abe Shinzō	 id = 200249
Abe Shinzo	 id = 200250
Shinzō Abe	 id = 200251
Koizumi Junichiro	 id = 200252
Tôn Nữ Thị Ninh	 id = 200253
La Sơn Phu Tử	 id = 200029
Hoàng Tuỵ	 id = 200254
Kiatisuk Senamuang	 id = 200255
Bao Thanh Thiên	 id = 200256
Huyn Bin	 id = 200257
Kim Tae Pyung	 id = 200258
Xê-da	 id = 200259
Xê da	 id = 200260
Tào Mạnh Đức	 id = 200261
Võ Hậu	 id = 200262
Võ Chiếu	 id = 200263
Võ hậu	 id = 200262
Tống Thừa Hiến	 id = 200264
John Cena	 id = 200265
Wayne Mark Rooney	 id = 200266
Phan Thu Ngân	 id = 200267
Giancarlo Fisichella	 id = 200268
Khương Tử Nha	 id = 200269
Lã Vọng	 id = 200270
Khương Thái Công	 id = 200271
Sạc-lô	 id = 200272
Hề Sạc-lô	 id = 200273
Gan-đi	 id = 200274
M. Gandhi	 id = 200275
Nen-xơn Man-đê-la	 id = 200276
Manđêla	 id = 200277
Triệu Đà	 id = 200278
Robert Kiyosaki	 id = 200279
Lê Đức Thuý	 id = 200280
Orhan Pamuk	 id = 200281
Nguyễn Chí Vịnh	 id = 200282
Chinghiz Aitmatov	 id = 200283
Aimatốp	 id = 200284
Tsinghiz Aitơmatốp	 id = 200285
Ban Ki-moon	 id = 200286
Gaius Julius Caesar	 id = 200287
Julius Ceasar	 id = 200288
Ban Gi-mun	 id = 200289
Pan Ki-mun	 id = 200290
Ban Ki Moon	 id = 200291
Phan Cơ Văn	 id = 200292
Petr Čech	 id = 200293
Mác Tuên	 id = 200294
Petr Cech	 id = 200295
Trần Sâm	 id = 200296
Lê Vân	 id = 200297
Marađôna	 id = 200298
Nguyễn Hồng Sơn	 id = 200299
Ruud van Nistelrooy	 id = 200300
Phan Huy Lê	 id = 200301
Hoàng Đình Bảo	 id = 200302
Khương Thái công	 id = 200271
Uông Chu Lưu	 id = 200303
James Cameron	 id = 200304
Vương Gia Vệ	 id = 200305
Maria Sharapova	 id = 200306
Kim Nhật Thành	 id = 200307
Jules Verne	 id = 200308
Trần Văn Khê	 id = 200309
Arthur Conan Doyle	 id = 200310
Ole Gunnar Solskjaer	 id = 200311
Harry Kewell	 id = 200312
Solskjær	 id = 199053
Như Quỳnh	 id = 200313
Kim Il Sung	 id = 200314
Tsinghid Aitmatôp	 id = 200315
Samuel Langhorne Clemens	 id = 200316
Samuel Clemens	 id = 200317
Paolo Maldini	 id = 200318
Anna Sergeyevna Kournikova	 id = 200319
Elvis Aron Presley	 id = 200320
Victor Huygo	 id = 200321
Đồng Sỹ Nguyên	 id = 200322
Đồng Sĩ Nguyên	 id = 200323
Hoàng Tố Lý	 id = 200324
Sergei Aleksandrovich Yesenin	 id = 200325
Thanh Đô vương	 id = 200326
Quang Thọ	 id = 200327
NSND Quang Thọ	 id = 200328
Jean Pierre Papin	 id = 200329
Jürgen Klinsmann	 id = 200330
Jurgen Klinsmann	 id = 200331
Sergei Yesenin	 id = 200332
Sergei Aleksandrovich Esenin	 id = 200333
Sergei Esenin	 id = 200334
Jake Gyllenhaal	 id = 200335
Jose Mourinho	 id = 200336
Jake gyllenhaal	 id = 200335
Nguyễn Văn Thành	 id = 200337
Ê-xê-nhin	 id = 200338
Esenin	 id = 200339
Sergey Esenin	 id = 200340
Tần Thuỷ Hoàng Đế	 id = 200341
Kim Chính Nhật	 id = 200342
Charles de Gaulle	 id = 200343
Robert Gates	 id = 200344
Arnold Alois Schwarzenegger	 id = 200345
Governator	 id = 200346
Joseph stalin	 id = 199792
Alessandro Del Piero	 id = 200347
Tôn Thất Tùng	 id = 200348
Mikhail Sergeyevich Gorbachev	 id = 200349
Laetitia Casta	 id = 200350
Laetitia Marie Laure Casta	 id = 200351
Andrei Nikolayevich Tupolev	 id = 200352
Sakai Noriko	 id = 200353
Nguyễn Chánh Minh Trí	 id = 200354
Noriko Sakai	 id = 200355
An Bội Tấn Tam	 id = 200356
Hilary duff	 id = 181762
Lương Vũ Sinh	 id = 200357
Andrei Tupolev	 id = 200358
Ferdynand Magellan	 id = 200359
Nguyễn Khánh Toàn	 id = 200360
Nguyễn Khánh Toàn (Nhà khoa học)	 id = 200361
Ruud van Nistelrooij	 id = 200362
Lev Nikolayevich Tolstoy	 id = 200363
Nguyễn Khánh Toàn (nhà giáo)	 id = 200364
Nguyễn Xiển	 id = 200365
Leo Tolstoy	 id = 200366
Lev Tolstoy	 id = 200367
Cao Xuân Hạo	 id = 200368
Trần Văn Giàu	 id = 200369
Phạm Huy Thông	 id = 200370
Hùng Hiền	 id = 200371
Lê Dụ Tông	 id = 200372
Y Vân	 id = 200373
Trần Tấn Hậu	 id = 200374
Dương Thừa Lâm	 id = 200375
Hương Giang	 id = 200376
Cindy Thái Tài	 id = 200377
Lương Chí Dũng	 id = 200378
Nhất Linh	 id = 200379
Chu Văn Tấn	 id = 200380
Cher	 id = 200381
Khương thái công	 id = 200271
Nguyễn Sen	 id = 200382
Phùng Chí Kiên	 id = 200383
Cả Khiêm	 id = 200384
Tất Đạt	 id = 200385
Shakira	 id = 200386
Indira Gandhi	 id = 200387
Cao Sĩ Kiêm	 id = 200388
Celine Dion	 id = 181700
Whitney Houston	 id = 200389
Cam-địa	 id = 200390
Cam Địa	 id = 200391
Trần Thuyên	 id = 200392
Jawaharlal Nehru	 id = 200393
Hugo Chávez	 id = 200394
Huygo Chavez	 id = 200395
Hugo Rafael Chávez Frías	 id = 200396
Hugo Rafael Chavez Frias	 id = 200397
Khương tữ nha	 id = 200398
Céline Marie Claudette Dion	 id = 200399
Celine Marie Claudette Dion	 id = 200400
Céline Dion	 id = 200401
Michael jackson	 id = 199235
Michael Joseph Jackson	 id = 200402
Ông hoàng nhạc Pop	 id = 200403
Whitney Elizabeth Houston	 id = 200404
Indira Gāndhī	 id = 200405
Indira Priyadarsini Gandhi	 id = 200406
Panditji	 id = 200407
Nehru	 id = 200408
Nêru	 id = 200409
Quý Dương	 id = 200410
Lý Thái Tông	 id = 200411
Lý Thánh Tông	 id = 200412
Nguyên Thái Tổ	 id = 200413
Johan Sebastian Bach	 id = 200414
Ludwig von Beethoven	 id = 200415
Kôfi Annan	 id = 200416
Bênêđich XVI	 id = 200417
Bênêđich 16	 id = 200418
Vương Trí Nhàn	 id = 200419
Friedrich Schiller	 id = 200420
Schiller	 id = 200421
Führer	 id = 200422
Lý Nhật Tôn	 id = 200423
Chế Linh	 id = 200424
Nguyễn Quang Sáng	 id = 200425
Cam Ly	 id = 200426
Vincent van Gogh	 id = 200427
Fabio Cannavaro	 id = 200428
Michelangelo	 id = 200429
Cao Sỹ Kiêm	 id = 200430
Gāius Jūlius Caesar	 id = 200431
Jūlius Caesar	 id = 200432
Nguyễn Huy Thiệp	 id = 200433
Phạm Văn Thiện	 id = 200434
Sơn Nam	 id = 200435
Ma Văn Kháng	 id = 200436
Phan Thị Vàng Anh	 id = 200437
Y Ban	 id = 200438
Nông Quốc Tuấn	 id = 200439
Hồ Dzếnh	 id = 200440
Franklin D. Roosevelt	 id = 200441
Franklin Delano Roosevelt	 id = 200442
Franklin Roosevelt	 id = 200443
Doanh Chính	 id = 200444
Kundera	 id = 200445
Hà Triệu Anh	 id = 200446
Phạm Thị Xuân Ban	 id = 200447
Nguyễn Ngọc Tư	 id = 200448
Tila Nguyễn	 id = 200449
Trần Lê Quỳnh	 id = 200450
Nguyễn Phước Ánh	 id = 200451
Nguyễn Phước Hồng Nhậm	 id = 200452
Nguyễn Phước Vĩnh Thụy	 id = 200453
Nguyễn Phước Miên Tông	 id = 200454
Tila Tequila	 id = 200455
Đặng Thái Sơn	 id = 200456
Hồ Dếnh	 id = 200457
James Bond	 id = 200458
Thạc-xỉn Xin-vắt	 id = 200459
Thặc-xỉn Xin-vắt	 id = 200460
Nguyễn Khoa Điềm	 id = 200461
Mikhail Vasilyevich Lomonosov	 id = 200462
Mikhail Lomonosov	 id = 200463
Natalie Glebova	 id = 200464
Justine Henin-Hardenne	 id = 200465
Theodore Roosevelt	 id = 200466
Michel Platini	 id = 200467
Quốc trưởng Việt Nam Cộng Hòa	 id = 200468
Khổng tử	 id = 199038
Lee Nguyễn	 id = 200469
Thoại Ngọc Hầu	 id = 200142
Nguyễn Văn Thoại	 id = 200470
Maria Yuryevna Sharapova	 id = 200471
Sương Nguyệt Anh	 id = 200472
Sương Nguyệt Ánh	 id = 200473
Triệu Vi	 id = 200474
Rutgerus Johannes Martinus van Nistelrooij	 id = 200475
Rutgerus Johannes Martinius van Nistelrooij	 id = 200476
Rutgerus Johannes Martinius Ruud van Nistelrooij	 id = 200477
Andy Roddick	 id = 200478
Tiêu Lam Trường	 id = 200479
Miley Cyrus	 id = 200480
Marat Safin	 id = 200481
Hứa Vỹ Luân	 id = 200482
Hua vy luan	 id = 200483
Xu Wei Lun	 id = 200484
Hsu Wei Lun	 id = 200485
Jennifer Hawkins	 id = 200486
Trà Giang	 id = 200487
Nguyễn Chánh Tín	 id = 200488
Miley cyrus	 id = 200480
Destiny Hope Cyrus	 id = 200489
Destiny Cyrus	 id = 200490
Võ Tòng	 id = 200491
Se7en	 id = 200492
Thi Nại Am	 id = 200493
Kevin Kurányi	 id = 200494
Kevin Kuranyi	 id = 200495
Hippocrate	 id = 200496
Chí Phèo	 id = 200497
Barack Obama	 id = 200498
Lucas Grabeel	 id = 200499
Khang Hi	 id = 200500
Huy quận công	 id = 200501
Quận Huy	 id = 200502
Khang Hy	 id = 200503
Hoàng đế Khang Hi	 id = 200504
Thanh Thánh Tổ	 id = 200505
Phạm Xuân Quắc	 id = 200506
Đổng Trác	 id = 200507
Phil Collins	 id = 200508
Lưu Diệc Phi	 id = 200509
Thế Lữ	 id = 200510
Meryl Streep	 id = 200511
Ashley Tisdale	 id = 200512
Rainie	 id = 200513
Rainie Yang	 id = 200514
Beatrice Xu	 id = 200515
Hồ Chủ Tịch	 id = 199644
