tây á	 id = 195322
An Huy	 id = 196186
Phang Nga	 id = 196187
Triết Giang	 id = 196188
Quảng Đông	 id = 196189
Hắc Long Giang	 id = 196190
Thiểm Tây	 id = 196191
Cam Túc	 id = 196192
Cát Lâm	 id = 196193
Khu tự trị Tân Cương	 id = 196194
Khu tự trị dân tộc Duy Ngô Nhĩ Tân Cương	 id = 196195
Bayern	 id = 196196
Bavaria	 id = 196197
Liêu Ninh	 id = 196198
sân bay quốc tế Bạch Vân Quảng Châu	 id = 196199
sân bay Quốc tế Bạch Vân (Quảng Đông)	 id = 196200
Phật Sơn	 id = 196201
Phật San	 id = 196202
Bàn Môn Điếm	 id = 196203
Panmunjeom	 id = 196204
Hắc Long Giang (tỉnh)	 id = 196205
Tỉnh Hắc Long Giang	 id = 196206
Châu Giang (Trung Quốc)	 id = 196027
Việt Giang	 id = 196207
sân bay Quốc tế Charles de Gaule	 id = 196208
sân bay quốc tế Charles De Gaulle	 id = 196209
Moscou	 id = 196210
Angkor Thom	 id = 196211
Guam	 id = 196212
Guåhån	 id = 196213
Guahan	 id = 196214
Phlo-ri-đa	 id = 196215
sân bay Surat Thani	 id = 196216
sân bay Quốc tế Phuket	 id = 196217
sân bay Quốc tế Chiang Mai	 id = 196218
sân bay Quốc tế Udon Thani	 id = 196219
Cöln	 id = 196220
Oppidum ubiorum	 id = 196221
Zurich	 id = 196222
sân bay Quốc tế Bandaranaike	 id = 196223
Tanganyika và Zanzibar	 id = 196224
Havana	 id = 196225
Srilanka	 id = 196226
I-rơ-lan	 id = 196227
Bình-nhưỡng	 id = 196228
Đa-nuýp	 id = 196229
Gi-bu-ti	 id = 196230
Tan-da-ni-a	 id = 196231
Xoa-di-len	 id = 196232
Ghi-nê	 id = 196233
Guinea	 id = 196234
Xê-nê-gan	 id = 196235
Xi-ê-ra Lê-ôn	 id = 196236
Xao-tô-mê và Prin-xi-pê	 id = 196237
Giê-ru-da-lem	 id = 196238
La-mã	 id = 196239
Mát-scơ-va	 id = 196240
Muy-ních	 id = 196241
Nam-tư	 id = 196242
Răng-gun	 id = 196243
Răng Gun	 id = 196244
Xây-lan	 id = 196245
sân bay Quốc tế José Martí	 id = 196246
Bờ biển Ngà	 id = 195595
sân bay Quốc tế Kuching	 id = 196247
sân bay Quốc tế Kuala Lumpur	 id = 196248
sân bay Quốc tế Langkawi	 id = 196249
sân bay Quốc tế Penang	 id = 196250
sân bay Xu-oa-na-pum	 id = 196251
sân bay Quốc tế Bangkok Mới	 id = 196252
sân bay Quốc tế Suvarnabhumi Bangkok	 id = 196253
sân bay quốc tế Vu Gia Bá	 id = 196254
sân bay quốc tế Thủ Đô Bắc Kinh	 id = 196255
sân bay quốc tế Phượng Hoàng Tam Á	 id = 196256
sân bay quốc tế Macau	 id = 196257
sân bay quốc tế Thiên Hà Vũ Hán	 id = 196258
sân bay quốc tế Đào Viên Đài Loan	 id = 196259
sân bay quốc tế Vu Gia Bá Côn Minh	 id = 196260
sân bay quốc tế Vu Gia Bá-Côn Minh	 id = 196261
sân bay Quốc tế Phố Đông-Thượng Hải	 id = 196144
sân bay quốc tế Phố Đông Thượng Hải	 id = 196262
sân bay quốc tế Ma Cao	 id = 196263
Đặc khu hành chính Macau	 id = 196264
sân bay quốc tế Ninoy Aquino	 id = 196265
Ðông Nam Á	 id = 196266
sân bay quốc tế Francisco Bangoy	 id = 196267
sân bay Quốc tế Soekarno-Hatta	 id = 196268
sân bay quốc tế Cao Hùng	 id = 196269
Nam Xương	 id = 196270
Kurdistan	 id = 196271
Kênh đào Suê	 id = 196272
Napoli	 id = 183622
Brasilia	 id = 196273
Rio de Janeiro	 id = 196274
Parma	 id = 196275
Ulan Bator	 id = 196276
Istanbul	 id = 196277
Stonehenge	 id = 196278
sân bay Agra	 id = 196279
sân bay quốc tế Chennai	 id = 196280
sân bay quốc tế Indira Gandhi	 id = 196281
sân bay quốc tế Chhatrapati Shivaji	 id = 196282
sân bay quốc tế Yangon	 id = 196283
sân bay Chicago O'Hare	 id = 196284
sân bay quốc tế Frankfurt	 id = 196285
sân bay quốc tế Bangkok	 id = 196286
sân bay quốc tế Denver	 id = 196287
sân bay quốc tế Sabiha Gökçen	 id = 196288
sân bay Mae Hong Son	 id = 196289
sân bay Trang	 id = 196290
Sri Jayawardenepura Kotte	 id = 196291
sân bay quốc tế Madrid Barajas	 id = 196292
Lisboa	 id = 196293
sân bay quốc tế Bảo An Thâm Quyến	 id = 196294
Tây Đức	 id = 196295
Thác Victoria	 id = 196296
Bern	 id = 196297
Ôx-trây-lia	 id = 196298
sân bay Donquijote	 id = 196299
Dresden	 id = 196300
Cottbus	 id = 196301
Arizona (tiểu bang)	 id = 196302
Rostock	 id = 196303
Mainz	 id = 196304
Ru-an-da	 id = 196305
CHDCND Lào	 id = 196306
Vienne	 id = 196307
Metz	 id = 190642
sân bay Quốc tế U-Tapao	 id = 196308
Caen	 id = 196309
Nice	 id = 184768
Johannesburg	 id = 196310
Nancy	 id = 196311
Strasbourg	 id = 196312
Quần đảo Senkaku	 id = 196313
Auxerre	 id = 196314
Quần đảo Điếu Ngư Đài	 id = 196315
Tung Sơn	 id = 196316
Núi Tung	 id = 196317
Rennes	 id = 196318
South Pole	 id = 179830
Caracas	 id = 196319
Bogotá	 id = 196320
sân bay quốc tế Ministro Pistarini	 id = 196321
Vientiane	 id = 196322
Cực Nam Trái Đất	 id = 196323
Cực Bắc của Trái Đất	 id = 196324
Cực Bắc Trái Đất	 id = 196325
Bắc cực	 id = 195561
Chu Giang	 id = 196326
Biển Caspi	 id = 196327
Cộng Hòa Liên Bang Đức	 id = 195504
Lorient	 id = 196328
sân bay Samui	 id = 196329
sân bay quốc tế Chiang Rai	 id = 196330
Trân Châu Cảng	 id = 196331
sân bay quốc tế Napoli	 id = 196332
sân bay quốc tế Marco Polo	 id = 196333
sân bay quốc tế Toulouse Blagnac	 id = 196334
Trân Châu cảng	 id = 196331
sân bay quốc tế Honolulu	 id = 196335
Quần đảo Hawaii	 id = 196336
sân bay quốc tế Adisucipto	 id = 196337
sân bay Nakhon Phanom	 id = 196338
sân bay quốc tế Soekarno-Hatta	 id = 196268
Matxcova	 id = 196339
sân bay quốc tế Minangkabau	 id = 196340
sân bay quốc tế Husein Sastranegara	 id = 196341
sân bay quốc tế Polonia	 id = 196342
sân bay quốc tế Sultan Syarif Qasim II	 id = 196343
sân bay Fukushima	 id = 196344
sân bay Fukuoka	 id = 196345
sân bay Sendai	 id = 196346
sân bay Kobe	 id = 196347
sân bay Naha	 id = 196348
sân bay Noto	 id = 196349
Los Angeles International Airport	 id = 196350
sân bay Quốc tế Los Angeles	 id = 196138
sân bay Quốc tế Frankfurt	 id = 196285
sân bay Quốc tế Honolulu	 id = 196335
sân bay Quốc tế Washington Dulles	 id = 196137
sân bay quốc tế Chubu	 id = 196351
sân bay Kushiro	 id = 196352
Quần đảo Thổ Châu	 id = 196353
sân bay quốc tế Narita	 id = 196354
sân bay quốc tế Mandalay	 id = 196355
sân bay quốc tế Domodedovo	 id = 196356
sân bay quốc tế Irkutsk	 id = 196357
sân bay quốc tế Vladivostok	 id = 196358
sân bay quốc tế Kingsfort Smith	 id = 196359
Siem Reap	 id = 196360
sân bay Melbourne	 id = 196361
sân bay quốc tế Townsville	 id = 196362
sân bay quốc tế Adelaide	 id = 196363
sân bay quốc tế Osaka	 id = 196364
sân bay Hiroshima	 id = 196365
sân bay Niigata	 id = 196366
sân bay Buriram	 id = 196367
sân bay Trat	 id = 196368
sân bay Khon Kaen	 id = 196369
sân bay Đài Trung	 id = 196370
sân bay Tùng Sơn Đài Bắc	 id = 196371
sân bay Hoa Liên	 id = 196372
sân bay Đài Nam	 id = 196373
sân bay quốc tế Tokyo	 id = 196148
sân bay Quốc tế Narita	 id = 196354
sân bay quốc tế Canberra	 id = 196374
sân bay quốc tế Broome	 id = 196375
sân bay Sán Đầu	 id = 196376
sân bay Quang Châu	 id = 196377
sân bay Gwangju	 id = 196378
Trung Âu	 id = 196379
sân bay Chitose mới	 id = 196380
sân bay Akita	 id = 196381
sân bay quốc tế Brunei	 id = 196382
sân bay quốc tế Sunan	 id = 196383
sân bay Sandakan	 id = 196384
Bandar Seri Begawan	 id = 196385
sân bay Daegu	 id = 196386
sân bay quốc tế Gimhae	 id = 196387
sân bay quốc tế Yangyang	 id = 196388
sân bay quốc tế Gimpo	 id = 196389
sân bay quốc tế Tân Hải Thiên Tân	 id = 196390
sân bay quốc tế Lưỡng Giang Quế Lâm	 id = 196391
Nagasaki	 id = 196392
Giuseppe Meazza	 id = 196393
Quần đảo Ryukyu	 id = 196394
Siberia	 id = 196395
sân bay Meadows Field	 id = 196396
sân bay Bạch Mai	 id = 196397
Caribe	 id = 196398
Kyoto	 id = 196399
Bắc Ireland	 id = 196400
sân bay quốc tế Hato	 id = 196401
sân bay quốc tế Flamingo	 id = 196402
sân bay quốc tế Princess Juliana	 id = 196403
sân bay Jaime Gonzáles	 id = 196404
sân bay quốc tế Ignacio Agramonte	 id = 196405
sân bay Jaime González	 id = 196406
sân bay Frank Pais	 id = 196407
sân bay Frederic Chopin Warsaw	 id = 196408
sân bay quốc tế Saint-Exupéry	 id = 196409
sân bay Paris-Orly	 id = 196410
sân bay Renne-Saint-Jacques	 id = 196411
sân bay quốc tế Lvov	 id = 196412
sân bay Amsterdam Schiphol	 id = 196413
sân bay Stockholm-Västerås	 id = 196414
sân bay Stockholm-Arlanda	 id = 196415
sân bay Madeira	 id = 196416
Miyagi	 id = 196417
sân bay quốc tế Toronto Pearson	 id = 196418
sân bay quốc tế Ottawa/Mcdonald Cartier	 id = 196419
sân bay quốc tế Ottawa Mcdonald-Cartier	 id = 196420
sân bay quốc tế La Chinita	 id = 196421
sân bay quốc tế Simón Bolíva	 id = 196422
sân bay quốc tế Mataveri	 id = 196423
Stockholm	 id = 196424
Canberra	 id = 196425
sân bay Helsinki-Vantaa	 id = 196426
sân bay Oslo, Gardermoen	 id = 196427
sân bay quốc tế Senai	 id = 196428
sân bay Zürich	 id = 196429
sân bay Manchester	 id = 196430
Big Ben	 id = 196431
Cung điện Westminster	 id = 196432
Helsinki	 id = 196433
sân bay quốc tế Allama Iqbal	 id = 196434
sân bay quốc tế Islamabad	 id = 196435
Islamabad	 id = 196436
sân bay Haneda	 id = 196437
sân bay quốc tế Sihanoukville	 id = 196438
sân bay Ratanankiri	 id = 196439
sân bay Trạm Giang	 id = 196440
sân bay quốc tế Kota Kinabalu	 id = 196441
sân bay quốc kế Kota Kinabalu	 id = 196442
sân bay Sultan Ismail Petra	 id = 196443
Quần đảo Nam Du	 id = 196444
sân bay Tawau	 id = 196445
sân bay Sultan Abdul Halim	 id = 196446
sân bay Sultan Abdul Aziz Shah	 id = 196447
Thời cổ Hy Lạp	 id = 196448
Khu Di tích Chichén Itzá	 id = 196449
sân bay Mã Công	 id = 196450
sân bay Gia Nghĩa	 id = 196451
sân bay quốc tế Ngô Vu Nam Ninh	 id = 196452
sân bay quốc tế Chu Thủy Tử Đại Liên	 id = 196453
sân bay quốc tế Juanda	 id = 196454
sân bay quốc tế Ngurah Rai	 id = 196455
sân bay quốc tế Sepinggan	 id = 196456
sân bay quốc tế Adisumarmo	 id = 196457
sân bay Achmad Yani	 id = 196458
sân bay quốc tế Sheremetyevo	 id = 196459
sân bay quốc tế Koltsovo	 id = 196460
sân bay Pulkovo	 id = 196461
sân bay Biên Hoà	 id = 196462
sân bay Nha Trang	 id = 196463
sân bay Nà Sản	 id = 196464
sân bay Chu Lai	 id = 196465
Siberi	 id = 196466
Xibia	 id = 196467
sân bay Thành Sơn	 id = 196468
sân bay Phan Rang	 id = 196469
Kênh đào Xuy-ê	 id = 196470
sân bay quốc tế Auckland	 id = 196471
Riga	 id = 196472
sân bay quốc tế Wellington	 id = 196473
sân bay quốc tế Augusto Severo	 id = 196474
sân bay quốc tế Thành Cát Tư Hãn	 id = 196475
Thành phố Hà Nội	 id = 196476
sân bay Kharkhorin Sum	 id = 196477
sân bay quốc tế Cape Town	 id = 196478
sân bay quốc tế Dubai	 id = 196479
Quần đảo cây cọ	 id = 196480
sân bay quốc tế Trung tâm Thế giới Dubai	 id = 196481
sân bay quốc tế Presidente Nicolau Lobato	 id = 196482
Dili	 id = 196483
sân bay quốc tế Oakland	 id = 196484
sân bay quốc tế Baghdad	 id = 196485
sân bay quốc tế Imam Ali	 id = 196486
sân bay Miri	 id = 196487
sân bay quốc tế Quảng Ninh	 id = 196488
Volga	 id = 186443
sân bay quốc tế Geneva Cointrin	 id = 196489
sân bay quốc tế Doha	 id = 196490
Cực Bắc	 id = 196491
sân bay quốc tế Doha mới	 id = 196492
sân bay quốc tế Sam Ratulangi	 id = 196493
Phá Lăng Sa	 id = 196494
Carolina Nam	 id = 196495
Quần đảo Balears	 id = 196496
Quần đảo Balearic	 id = 196497
Quần đảo Balear	 id = 196498
Sochaux	 id = 196499
Machu Picchu	 id = 196500
sân bay Khatanga	 id = 196501
sân bay Pushkin	 id = 196502
Hà thành	 id = 192631
Tỉnh Quảng Đông	 id = 196503
Hồ Victoria	 id = 196504
Sông Mississippi	 id = 196505
Nam Âu	 id = 196506
Angko Vat	 id = 196507
Khu tự trị Duy Ngô Nhĩ Tân Cương	 id = 196508
Berne	 id = 196509
Shandong	 id = 196510
Cộng hòa Liên bang Nga	 id = 196511
Xi-bê-ri	 id = 196512
Luanda	 id = 196513
Montevideo	 id = 196514
Ankara	 id = 196515
Riyadh	 id = 196516
Guantánamo	 id = 196517
sân bay quốc tế Miami	 id = 196518
Thành phố Guantanamo	 id = 196519
Brasília	 id = 196520
Ai-Cập	 id = 195902
Guantanamo	 id = 196521
Khu tự trị người Duy Ngô Nhĩ tại Tân Cương	 id = 196522
Hanoi	 id = 196523
Teochew	 id = 196524
Pearl Harbor	 id = 196525
Cardiff	 id = 196526
Portsmouth	 id = 196527
Abu Dhabi	 id = 196528
Leeds	 id = 196529
Kabul	 id = 196530
Kathmandu	 id = 196531
Dhaka	 id = 196532
Southampton	 id = 196533
Leicester	 id = 196534
Middlesbrough	 id = 196535
Visakhapatnam	 id = 196536
Asmara	 id = 196537
sân bay Narathiwat	 id = 196538
Beirut	 id = 196539
sân bay quốc tế Beirut Rafic Hariri	 id = 196540
sân bay quốc tế Kuwait	 id = 196541
sân bay quốc tế Basrah	 id = 196542
sân bay quốc tế Erbil	 id = 196543
sân bay quốc tế Sulaimaniyah	 id = 196544
sân bay quốc tế Imam Khomeini	 id = 196545
sân bay quốc tế Cairo	 id = 196546
sân bay quốc tế John F. Kennedy	 id = 196547
Mogadishu	 id = 196548
Cộng hòa Macedonia	 id = 196549
Andorra	 id = 196550
Macedonia	 id = 188213
Cộng hòa Makêđônia	 id = 196551
Lăng mộ Taj Mahal	 id = 196552
Ma-xê-đô-ni-a	 id = 196553
Maxêđoni	 id = 196554
Makêđônia	 id = 196555
sân bay Yuzhny	 id = 196556
Vịnh Phang Nga	 id = 196557
Cộng hòa Dân chủ Đức	 id = 196558
Caribbe	 id = 196559
Ca ri bê	 id = 196560
Bosna-Hercegovina	 id = 196561
Bharat	 id = 196562
Mãn Châu	 id = 196563
Palais Bourbon	 id = 196564
CHDC Đức	 id = 196565
Hague	 id = 196566
sân bay Lampang	 id = 196567
sân bay Ubon Ratchathani	 id = 196568
Tung sơn	 id = 196316
sân bay quốc tế Birmingham (Mỹ)	 id = 196569
sân bay quốc tế Trường Lạc Phúc Châu	 id = 196570
sân bay quốc tế Chu Hải	 id = 196571
sân bay Kai Tak	 id = 196572
sân bay Khởi Đức	 id = 196573
Birmingham	 id = 196574
sân bay Mandurriao	 id = 196575
Sông Thames	 id = 196576
Kinshasa	 id = 196577
sân bay quốc tế Kinshasa	 id = 196578
sân bay quốc tế Bangoka	 id = 196579
sân bay quốc tế Goma	 id = 196580
N'Djamena	 id = 196581
Brazzaville	 id = 196582
sân bay Maya-Maya	 id = 196583
sân bay Pointe Noire	 id = 196584
sân bay quốc tế Antonio B. Won Pat	 id = 196585
sân bay Graz	 id = 196586
sân bay Ängelholm-Helsingborg	 id = 196587
sân bay Limbang	 id = 196588
sân bay Sultan Azlan Shah	 id = 196589
sân bay Batu Berendam	 id = 196590
sân bay quốc tế Portland	 id = 196591
sân bay quốc tế Rogue Valley Medford	 id = 196592
sân bay quốc tế Del Rio	 id = 196593
sân bay quốc tế Midland	 id = 196594
sân bay quốc tế Valley	 id = 196595
sân bay quốc tế Halim Perdanakusuma	 id = 196596
sân bay Hasanuddin	 id = 196597
sân bay Sultan Iskandarmuda	 id = 196598
sân bay Abraham Lincoln Capital	 id = 196599
Biển Caribbean	 id = 196600
Edinburgh	 id = 196601
sân bay quốc tế Mohamed Boudiaf	 id = 196602
sân bay Houari Boumedienne	 id = 196603
sân bay Oued Irara	 id = 196604
sân bay Soummam	 id = 196605
sân bay quốc tế Chlef	 id = 196606
sân bay Tamanrasset	 id = 196607
Dakar	 id = 196608
Abidjan	 id = 196609
sân bay Allahabad	 id = 196610
sân bay quốc tế Dr. Babasaheb Ambedkar	 id = 196611
Makedonia	 id = 196612
Quần đảo Bắc Mariana	 id = 196613
Quần đảo Mariana	 id = 196614
Perth	 id = 196615
sân bay quốc tế Rajiv Gandhi	 id = 196616
sân bay Begumpet	 id = 196617
Điện Bourbon	 id = 196618
Cung điện Bourbon	 id = 196619
Tòa nhà Quốc hội Pháp	 id = 196620
Tòa nhà quốc hội Pháp	 id = 196620
Quần đảo Thiên nga	 id = 196621
Swan Islands	 id = 196622
Quần đảo Swan	 id = 196623
Đặc khu hành chính Ma Cao	 id = 196624
sân bay quốc tế Glasgow	 id = 196625
sân bay Edinburgh	 id = 196626
Phi trường Edinburgh	 id = 196627
Phi trường quốc tế Glasgow	 id = 196628
Vạn lý Trường thành	 id = 195838
Colosseum	 id = 196629
RAEM	 id = 196630
sân bay quốc tế Congonhas-São Paulo	 id = 196631
sân bay quốc tế São Paulo-Guarulhos	 id = 196632
Copenhagen	 id = 196633
Düsseldorf	 id = 196634
Budapest	 id = 196635
Kopenhagen	 id = 196636
Buda-Pesth	 id = 196637
Lisbon	 id = 196638
Phi trường Heathrow London	 id = 196639
Quần đảo Lưu Cầu	 id = 196640
Bosnia và Herzegovina	 id = 196641
Phi trường quốc tế Portland	 id = 196642
Phi trường Quốc tế Portland	 id = 196642
Delhi	 id = 196643
Yangbay	 id = 196644
Helsingfors	 id = 196645
Tỉnh Hồ Bắc	 id = 196646
Tel Aviv	 id = 196647
Bắc Mariana	 id = 196648
Kinh đào Suez	 id = 196649
Bắc Phi	 id = 196650
Antigua và Barbuda	 id = 196651
Rô-ma	 id = 196652
Tây Phi	 id = 196653
sân bay quốc tế Hong Kong	 id = 196143
sân bay Quốc tế San Francisco	 id = 196140
sân bay Quốc tế Hartsfield-Jackson Atlanta	 id = 196157
sân bay Quốc tế Dallas-Forth Worth	 id = 196141
sân bay Quốc tế Luang Prabang	 id = 196152
sân bay Quốc tế Wattay	 id = 196151
Tây Sahara	 id = 196654
Cầu Kim Môn	 id = 196655
Côn Luân	 id = 196656
Caribbean	 id = 184024
Nga Mi	 id = 196657
Sông Lena	 id = 196658
Lena	 id = 196659
Ha Noi	 id = 196660
Rīga	 id = 196661
Nội Mông	 id = 196662
Nội Mông Cổ	 id = 196663
Sông Enisei	 id = 196664
Miyazaki	 id = 196665
Sông Angara	 id = 196666
Reykjavík	 id = 196667
Nou Camp	 id = 196668
các tiểu vương quốc ả rập thống nhất	 id = 196669
Hồng Công	 id = 196670
hợp chủng quốc hoa kỳ	 id = 196671
xứ sở mặt trời mọc	 id = 196672
xứ hoa anh đào	 id = 196673
Bắc Ailen	 id = 196674
cộng hòa ái nhĩ lan	 id = 196675
CH Ailen	 id = 196676
CH Ai len	 id = 196677
CH Ireland	 id = 196678
ixraen	 id = 196679
ixaren	 id = 196680
isarel	 id = 196681
Viễn Đông	 id = 196682
irắc	 id = 196683
xứ sở bạch dương	 id = 196684
canađa	 id = 196685
xu đăng	 id = 196686
xuđăng	 id = 196687
xuđan	 id = 196688
cộng hòa sudan	 id = 196689
Niu Yoóc	 id = 196690
xinhgapo	 id = 196691
Dublin	 id = 196692
biển Đông	 id = 196693
lúc-xăm-bua	 id = 196694
lúcxămbua	 id = 196695
lucxămbua	 id = 196696
lucxembua	 id = 196697
luxembua	 id = 196698
Blackburn	 id = 196699
đập Tam Hiệp	 id = 196700
xứ sở kim chi	 id = 196701
xứ sở anh đào	 id = 196702
Sampdoria	 id = 196703
xin-ga-po	 id = 196704
chilê	 id = 196705
angôla	 id = 196706
áp-ga-ni-xtan	 id = 196707
pakixtan	 id = 196708
điện elysée	 id = 196709
điện elyseé	 id = 196710
inđônêxia	 id = 196711
Phúc Kiến	 id = 196712
vùng Vịnh	 id = 196713
Vùng Vịnh	 id = 196713
Benin	 id = 196714
Cộng hòa Benin	 id = 196715
CH Benin	 id = 196716
Bê-nanh	 id = 195585
Bê nanh	 id = 196717
đảo síp	 id = 196718
Bosnia	 id = 196719
Kosovo	 id = 196720
thánh địa mecca	 id = 196721
Biển Đông	 id = 196693
Biển Đỏ	 id = 196722
biển Đỏ	 id = 196722
hồ chad	 id = 196723
sông đa nuýp	 id = 196724
sông đanuýp	 id = 196725
sông danube	 id = 196726
Anh quốc	 id = 192576
mỹ la tinh	 id = 196727
mỹ latinh	 id = 196728
mỹ latin	 id = 196729
sa mạc Sahara	 id = 196730
lục địa đen	 id = 196731
Campuchia	 id = 196732
căm pu chia	 id = 196733
cam pu chia	 id = 196734
Italy	 id = 196735
đảo quốc sư tử	 id = 196736
quốc đảo sư tử	 id = 196737
Cleveland	 id = 191993
Baltic	 id = 196738
bantích	 id = 196739
bantich	 id = 196740
phố wall	 id = 196741
cộng hòa kenya	 id = 196742
CH Kenya	 id = 196743
xứ Catalan	 id = 196744
Catalan	 id = 196745
Sunderland	 id = 196746
cộng hòa nhân dân Trung Hoa	 id = 196747
CHND Trung Hoa	 id = 196748
Luzhniki	 id = 196749
Ba Tư	 id = 196750
đông nam châu á	 id = 196751
Bolton	 id = 196752
xứ bạch dương	 id = 196753
sông nile	 id = 196754
morocco	 id = 196755
algeria	 id = 196756
Broadway	 id = 182888
Kurd	 id = 196757
Tamil	 id = 196758
Việt Nam	 id = 192572
Tây Ban Nha	 id = 195367
Bồ Đào Nha	 id = 195369
Ga-da	 id = 196759
i xra en	 id = 196760
pa le xtin	 id = 196761
xứ kim chi	 id = 196762
xứ sở samba	 id = 196763
xứ samba	 id = 196764
mát xcơ va	 id = 196765
brussel	 id = 196766
Merseyside	 id = 196767
Santiago Bernabéu	 id = 196768
bernabeu	 id = 196769
Fulham	 id = 196770
Olimpico	 id = 196771
Lens	 id = 196772
Valenciennes	 id = 196773
Catania	 id = 196774
TRUNG QUỐC	 id = 192573
Siena	 id = 196775
Livorno	 id = 196776
Almeria	 id = 196777
Duisburg	 id = 196778
Nuremberg	 id = 195438
Wolfsburg	 id = 196779
Soren Larsen	 id = 196780
Joachim Löw	 id = 196781
Joachim Loew	 id = 196782
Sicilia	 id = 196783
Sicile	 id = 196784
đất nước nhân sâm	 id = 196785
quốc gia nhân sâm	 id = 196786
xứ sở nhân sâm	 id = 196787
Lepzig	 id = 196788
Damascus	 id = 196789
Xứ Gan	 id = 196790
Xứ Uên	 id = 196791
Trinidad Tobago	 id = 196792
cộng hòa tchad	 id = 196793
cộng hòa chad	 id = 196794
Ulaanbaatar	 id = 196795
Oulan Bator	 id = 196796
Mat xcơ va	 id = 196797
Abuja	 id = 196798
Accra	 id = 196799
Adamstown	 id = 196800
Addis Ababa	 id = 196801
Algiers	 id = 196802
Alofi	 id = 196803
Amman	 id = 196804
Andorra la Vella	 id = 196805
Apia	 id = 196806
Ashgabat	 id = 196807
Astana	 id = 196808
Asunción	 id = 196809
Athena	 id = 187651
Avarua	 id = 196810
Bamako	 id = 196811
Bangui	 id = 196812
Banjul	 id = 196813
Basseterre	 id = 196814
Belgrade	 id = 196815
Belmopan	 id = 196816
Bishkek	 id = 196817
Bissau	 id = 196818
Bloemfontein	 id = 196819
Bratislava	 id = 196820
Bridgetown	 id = 196821
Bucharest	 id = 196822
Bujumbura	 id = 196823
Castries	 id = 196824
Charlotte Amalie	 id = 196825
Chişinău	 id = 196826
Cockburn Town	 id = 196827
Conakry	 id = 196828
Cotonou	 id = 196829
Dar es Salaam	 id = 196830
Dodoma	 id = 196831
Douglas	 id = 196832
Dushanbe	 id = 196833
Freetown	 id = 196834
Funafuti	 id = 196835
Gaborone	 id = 196836
George Town	 id = 196837
Gibraltar	 id = 196838
Grytviken	 id = 196839
Hagåtña	 id = 196840
Harare	 id = 196841
Hargeisa	 id = 196842
Honiara	 id = 196843
Jamestown	 id = 196844
Kampala	 id = 196845
Khartoum	 id = 196846
Kigali	 id = 196847
Kingstown	 id = 196848
La Paz	 id = 196849
Libreville	 id = 196850
Lilongwe	 id = 196851
Ljubljana	 id = 196852
Lobamba	 id = 196853
Lomé	 id = 196854
Lusaka	 id = 196855
Majuro	 id = 196856
Malabo	 id = 196857
Malé	 id = 196858
Mamoudzou	 id = 196859
Managua	 id = 196860
Manama	 id = 196861
Maputo	 id = 196862
Maseru	 id = 196863
Mata-Utu	 id = 196864
Mbabane	 id = 196865
Melekeok	 id = 196866
Monrovia	 id = 196867
Moroni	 id = 196868
Muscat	 id = 196869
Nassau	 id = 196870
Naypyidaw	 id = 196871
Niamey	 id = 196872
Nicosia	 id = 196873
Nouakchott	 id = 196874
Nouméa	 id = 196875
Nuku'alofa	 id = 196876
Nuuk	 id = 196877
Oranjestad	 id = 196878
Pago Pago	 id = 196879
Palikir	 id = 196880
Papeete	 id = 196881
Paramaribo	 id = 196882
Plymouth	 id = 196883
Podgorica	 id = 196884
Port Louis	 id = 196885
Port Moresby	 id = 196886
Port Vila	 id = 196887
Port of Spain	 id = 196888
Porto-Novo	 id = 196889
Praia	 id = 196890
Pretoria	 id = 196891
Putrajaya	 id = 196892
Quito	 id = 196893
Rabat	 id = 196894
Roseau	 id = 196895
Saipan	 id = 196896
San José	 id = 196897
San Juan	 id = 196898
San Salvador	 id = 196899
Sanaá	 id = 196900
Santiago	 id = 196901
Santo Domingo	 id = 196902
São Tomé	 id = 196903
Sarajevo	 id = 196904
The Settlement	 id = 196905
Skopje	 id = 196906
Sofia	 id = 183771
Nam Tarawa	 id = 196907
St. George's	 id = 196908
St. Helier	 id = 196909
St. John's	 id = 196910
St. Peter Port	 id = 196911
St. Pierre	 id = 196912
Stanley	 id = 185832
Suva	 id = 196913
Tallinn	 id = 196914
Tegucigalpa	 id = 196915
Thimphu	 id = 196916
Tirana	 id = 196917
Tiraspol	 id = 196918
Tórshavn	 id = 196919
Tripoli	 id = 196920
Tunis	 id = 196921
Vaduz	 id = 196922
Valletta	 id = 196923
The Valley	 id = 196924
Vilnius	 id = 196925
West Island	 id = 196926
Willemstad	 id = 196927
Windhoek	 id = 196928
Yamoussoukro	 id = 196929
Yaoundé	 id = 196930
Yaren	 id = 196931
Yerevan	 id = 196932
Zagreb	 id = 196933
St Pierre	 id = 196934
St Peter Port	 id = 196935
St John s	 id = 196936
St Helier	 id = 196937
St George s	 id = 196938
Porto Novo	 id = 196939
Mata Utu	 id = 196940
N Djamena	 id = 196941
Port au Prince	 id = 196942
Abkhazia	 id = 196943
Giooc đa ni	 id = 196944
Cư rơ gư xtan	 id = 196945
Libăng	 id = 195518
Li băng	 id = 196946
Xcốtlen	 id = 196947
Tô Cách Lan	 id = 196948
Xờ cốt len	 id = 196949
Vênêzuêla	 id = 196950
Zimbabuê	 id = 196951
Micronesia	 id = 196952
Nagorno-Karabakh	 id = 196953
Nam Osetia	 id = 196954
Palau	 id = 196955
Saint Kitts và Nevis	 id = 196956
